s,Pc
1385.0,0.16034
1386.0,0.16034
1387.0,0.16034
1388.0,0.16034
1389.0,0.16034
1390.0,0.16034
1391.0,0.16034
1392.0,0.16034
1393.0,0.16034
1394.0,0.16034
1395.0,0.16034
1396.0,0.16034
1397.0,0.16034
1398.0,0.16034
1399.0,0.16034
1400.0,0.16034
1401.0,0.16034
1402.0,0.16034
1403.0,0.16034
1404.0,0.16034
1405.0,0.16034
1406.0,0.16034
1407.0,0.16034
1408.0,0.16034
1409.0,0.16034
1410.0,0.16034
1411.0,0.16034
1412.0,0.16034
1413.0,0.16034
1414.0,0.16034
1415.0,0.16034
1416.0,0.16034
1417.0,0.16034
1418.0,0.16034
1419.0,0.16034
1420.0,0.16034
1421.0,0.16034
1422.0,0.16034
1423.0,0.16034
1424.0,0.16034
1425.0,0.16034
1426.0,0.16034
1427.0,0.16034
1428.0,0.16034
1429.0,0.16034
1430.0,0.16034
1431.0,0.16034
1432.0,0.16034
1433.0,0.16034
1434.0,0.16034
1435.0,0.16034
1436.0,0.16034
1437.0,0.16034
1438.0,0.16034
1439.0,0.16034
1440.0,0.16034
1441.0,0.16034
1442.0,0.16034
1443.0,0.16034
1444.0,0.16034
1445.0,0.16034
1446.0,0.16034
1447.0,0.16034
1448.0,0.16034
1449.0,0.16034
1450.0,0.16034
1451.0,0.16034
1452.0,0.16034
1453.0,0.16034
1454.0,0.16034
1455.0,0.16034
1456.0,0.16034
1457.0,0.16034
1458.0,0.16034
1459.0,0.16034
1460.0,0.16034
1461.0,0.16034
1462.0,0.16034
1463.0,0.16034
1464.0,0.16034
1465.0,0.16034
1466.0,0.16034
1467.0,0.16034
1468.0,0.16034
1469.0,0.16034
1470.0,0.16034
1471.0,0.16034
1472.0,0.16034
1473.0,0.16034
1474.0,0.16034
1475.0,0.16034
1476.0,0.16034
1477.0,0.16034
1478.0,0.16034
1479.0,0.16034
1480.0,0.16034
1481.0,0.16034
1482.0,0.16034
1483.0,0.16034
1484.0,0.16034
1485.0,0.16034
1486.0,0.16034
1487.0,0.16034
1488.0,0.16034
1489.0,0.16034
1490.0,0.16034
1491.0,0.16034
1492.0,0.16034
1493.0,0.16034
1494.0,0.16034
1495.0,0.16034
